collected_at_utc,collected_at_germany,system_name,domain,city_uid,city_name,place_uid,place_number,name,address,lat,lng,is_station,is_floating_bike,active_place,maintenance,terminal_type,place_type,booked_bikes,bikes,bikes_available_to_rent,bike_racks,free_racks,special_racks,free_special_racks,bike_types_json,bike_count_from_list
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472088,42563,Mainzer Mobilität,,50.014656,8.251292,True,False,1,True,,14,0,12,12,28,15,0,0,"{""188"": 5, ""191"": 4, ""225"": 1, ""295"": 2}",12
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472089,42564,Mainzer Stadtwerke AG,,50.01067,8.263784,True,False,1,False,,14,0,4,4,14,10,0,0,"{""188"": 1, ""191"": 2, ""225"": 1}",4
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472090,42565,Malakoff-Terrasse,Malakoff-Terrasse / Dagobertstraße,49.995733,8.281846,True,False,1,False,,14,0,2,2,36,32,0,0,"{""188"": 1, ""191"": 1}",2
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472092,42567,meinRad-Werkstatt / Obere Austraße,,50.019403,8.251355,True,False,1,True,,14,0,2,2,12,9,0,0,"{""191"": 2}",2
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472093,42568,Mombacher Tor,,50.010407,8.243872,True,False,1,False,,14,0,20,20,16,0,0,0,"{""188"": 9, ""191"": 8, ""348"": 3}",20
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472094,42569,Mühldreieck,,49.959572,8.26807,True,False,1,False,,14,0,2,2,10,8,0,0,"{""295"": 2}",2
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472095,42570,Münchfeld,,49.996713,8.230125,True,False,1,False,,14,0,4,4,12,6,0,0,"{""188"": 1, ""225"": 1, ""295"": 1, ""348"": 1}",4
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472096,42571,Rheinhessen Sparkasse / Hintere Bleiche,,50.001001,8.262775,True,False,1,False,,19,0,8,8,18,10,0,0,"{""188"": 5, ""191"": 3}",8
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472097,42572,Nahestraße / Zollhafen,,50.014088,8.258546,True,False,1,False,,14,0,22,22,18,0,0,0,"{""188"": 15, ""191"": 5, ""225"": 1, ""295"": 1}",22
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472099,42574,Neutorstraße,,49.994167,8.279175,True,False,1,False,,19,0,0,0,10,10,0,0,{},0
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472100,42575,Pariser Tor,,49.985814,8.266917,True,False,1,True,,19,0,0,0,8,8,0,0,{},0
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472101,42576,Poststraße ,,49.989222,8.178581,True,False,1,False,,14,0,5,5,10,5,0,0,"{""191"": 4, ""295"": 1}",5
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472102,42577,Proviantamt,,49.999501,8.265172,True,False,1,False,,19,0,14,14,18,3,0,0,"{""188"": 3, ""191"": 8, ""295"": 1, ""348"": 2}",14
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472104,42579,Reduit,,50.00605,8.282393,True,False,1,False,,14,0,2,2,12,9,0,0,"{""188"": 1, ""191"": 1}",2
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472105,42580,Römerpassage,,50.001679,8.268061,True,False,1,False,,19,0,21,21,18,0,0,0,"{""188"": 8, ""191"": 13}",21
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472106,42581,Römerquelle,,49.995621,8.174931,True,False,1,False,,14,0,2,2,6,4,0,0,"{""188"": 1, ""191"": 1}",2
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472107,42582,Schott AG / Nordbahnhof,,50.019397,8.24673,True,False,1,True,,14,0,6,6,18,12,0,0,"{""188"": 5, ""191"": 1}",6
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472108,42583,Sömmerringstraße,,50.012415,8.256019,True,False,1,False,,19,0,10,10,12,2,0,0,"{""188"": 6, ""191"": 4}",10
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472110,42585,Stadtpark,,49.993004,8.282681,True,False,1,True,,19,0,2,2,12,10,0,0,"{""188"": 1, ""225"": 1}",2
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472111,42586,Synagoge,,50.008235,8.259133,True,False,1,False,,14,0,18,18,20,2,0,0,"{""188"": 9, ""191"": 7, ""295"": 2}",18
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472113,42588,Turnvater-Jahn-Straße,,49.983336,8.239993,True,False,1,False,,19,0,0,0,12,10,0,0,{},0
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472114,42589,Uni / Forum,,49.99441,8.244186,True,False,1,False,,19,0,0,0,16,14,0,0,{},0
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472115,42590,Uni / Haupteingang,,49.996494,8.246821,True,False,1,False,,14,0,0,0,16,16,0,0,{},0
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472116,42591,Uni / Mensa,,49.991919,8.234822,True,False,1,False,,14,0,0,0,22,20,0,0,{},0
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472117,42592,Uni / Muschel,,49.992595,8.241162,True,False,1,False,,19,0,0,0,12,10,0,0,{},0
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472118,42593,Universitätsmedizin Süd,,49.990317,8.256717,True,False,1,False,,19,0,0,0,8,8,0,0,{},0
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472119,42594,Uni / Wittichweg,,49.994348,8.23713,True,False,1,False,,19,0,0,0,12,9,0,0,{},0
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472120,42595,Volkspark,,49.985752,8.289842,True,False,1,False,,14,0,0,0,14,13,0,0,{},0
2026-07-16T20:45:28+00:00,2026-07-16T22:45:28+02:00,meinRad,mz,755,Mainz,74472121,42596,Weinlager / Zollhafen,,50.013991,8.263654,True,False,1,True,,14,0,6,6,30,22,0,0,"{""188"": 4, ""191"": 2}",6
